ï»¿"Compound/Formulation","Species","Avg/Med Lifespan Change (%)","Max Lifespan Change (%)","Strain","Dosage","Significant?","Reference"
"Lithocholic acid","Saccharomyces cerevisiae","105.5","93","BY4742","50 µM","Y","30405886"
"Thioflavin T","Caenorhabditis elegans","60","78","N2","50-100 µM","Y","21451522"
"Bacitracin","Caenorhabditis elegans","58.5","74","N2","0.01","Y","22114686"
"Acetaminophen","Caenorhabditis elegans","48.6","66","N2","0.10%","Y","22114686"
"Minocycline","Drosophila melanogaster","50","66","Oregon R","0.87 mM","Y","23185716"
"N-acetyl-L-cysteine","Caenorhabditis elegans","24.49","64","N2","9 mM","Y","27683245"
"Resveratrol","Nothobranchius furzeri","56","59","Gonarezhou","600 µg/g food","Y","16461283"
"Sorbitol","Caenorhabditis elegans","39.35","57.89","N2","500 mM","Y","26854551"
"Trimethadione","Caenorhabditis elegans","47","57","N2","4 mg/ml","Y","15653505"
"2-deoxy-D-glucose","Caenorhabditis elegans","12.93","56.49","N2","5 mM","Y","17908557"
"Dimethyl formamide","Caenorhabditis elegans","33","54","N2","0.0075","Y","23313473"
"Baicalein","Caenorhabditis elegans","36.7","52","N2","0.001","Y","22114686"
"Ciclopirox olamine","Caenorhabditis elegans","41","52","N2","0.0001","Y","22114686"
"Ascorbic acid","Caenorhabditis elegans","","50","N2","25 µL Liposomes + 240 µg ascorbic acid","Y","19580823"
"Glutathione","Caenorhabditis elegans","","50","N2","25 µL Liposomes + 360 µg glutathione","Y","19580823"
"Trimethadione","Caenorhabditis elegans","","50","N2","25 µL Liposomes + 0.6mg trimethadione","Y","19580823"
"Nicotinamide","Saccharomyces cerevisiae","35.96","50","W303-1A","5 mM","Y","27320176"
"3,3-diethyl-2-pyrrolidinone","Caenorhabditis elegans","31","49","N2","2 mg/ml","Y","15653505"
"3,3-diethyl-2-pyrrolidinone","Caenorhabditis elegans","31","49","N2","2 mg/ml","Y","15653505"
"Curcumin","Drosophila melanogaster","49","49","Ra","100 mM","Y","23063786"
"Paraquat","Caenorhabditis elegans","58","48","N2","0.1 mM","Y","21151885"
"Aspirin","Mus musculus","8","47.2","UM-HET3","21 mg/kg food","Y","18631321"
"N-acetyl-L-cysteine","Caenorhabditis elegans","30.5","47.1","N2 CGCb strain","5 mM","Y","26039957"
"Mianserin","Caenorhabditis elegans","28.3","46","N2","50 µM","Y","26255886"
"Withanolide A","Caenorhabditis elegans","29.65","45.33","N2","5 µM","Y","26956478"
"N-acetyl-L-cysteine","Mus musculus","24","45","UM-HET3","10 g/L of water","Y","20819793"
"Sodium Chloride","Caenorhabditis elegans","40.53","44.44","N2","250 mM","Y","26854551"
"Sodium Chloride","Caenorhabditis elegans","40.53","44.44","N2","350 mM","Y","26854551"
"Protease treated royal jelly","Caenorhabditis elegans","18","44","N2","10 µg/ml","Y","21858156"
"Rhodiola rosea extract","Drosophila melanogaster","","42.9","","30 mg/mL every other day","ND","9825229"
"N-acetyl-L-cysteine","Caenorhabditis elegans","","42.9","N2","25 µL Liposomes + 100 µg NAC","Y","19580823"
"Valproic acid","Caenorhabditis elegans","35","42","N2","6 mM","Y","18248662"
"4-phenylbutyrate","Drosophila melanogaster","40","41","Canton S","5 mM","ND","11792861"
"Protocatechuic acid","Caenorhabditis elegans","38.9","40","N2","200 µM","Y","23780797"
"Dimethylaminoethyl p-chlorophenoxyacetate","Rattus norvegicus","27.3","39.7","Swiss","0.3g/L","Y","4147092"
"Curcumin","Drosophila melanogaster","46.8","38","Ra","100 mM","Y","23063786"
"Curcumin","Drosophila melanogaster","46.8","38","Ra","100 mM","Y","26136617"
"Trichostatin A","Drosophila melanogaster","27.3","37.9","Canton S","10 µM","Y","15346199"
"Trichostatin A","Drosophila melanogaster","23.3","37","Canton S","10 µM","Y","15346199"
"Ethosuximide","Caenorhabditis elegans","35","37","N2","4 mg/ml","Y","15653505"
"Ethosuximide","Caenorhabditis elegans","35","37","N2","4 mg/ml","Y","15653505"
"Resveratrol","Anastrepha ludens","8","36.3","","100 µM","N","19264118"
"Stachys lavandulifolia ethanol extract","Drosophila melanogaster","55.7","36","Oregon R","20 µl/100 ml media","Y","20738162"
"Rapamycin","Caenorhabditis elegans","26","34.84","N2","100 µM","Y","24332851"
"East Indian sandalwood oil","Caenorhabditis elegans","26.36","34.78","N2","24 µ/mL","Y","30319772"
"Sodium hypophosphite","Zaprionus paravittiger","28.5","34.3","","1 mM","Y","3721207"
"Melatonin","Drosophila melanogaster","14","33","Oregon R","100 µg/ml","Y","11909680"
"Trimethadione","Caenorhabditis elegans","39","33","N2","4 mg/ml","Y","15653505"
"Resveratrol","Nothobranchius guentheri","23","32","TZ 97-2","100 µL","Y","22960591"
"Potassium Chloride","Caenorhabditis elegans","23.23","31.58","N2","250 mM","Y","26854551"
"Glycerol","Caenorhabditis elegans","33.55","31.58","N2","500 mM","Y","26854551"
"L-deprenyl","Mus musculus","3.9","31.2","B6CBAF1","0.25 mg/kg 3x/week","N","8914495"
"Rhodiola rosea extract","Drosophila melanogaster","24","31","","25 mg/mL","Y","19634056"
"Paraquat","Caenorhabditis elegans","23.73","30.77","N2","100 µM","Y","27683245"
"East Indian sandalwood oil","Caenorhabditis elegans","31.32","30.43","N2","24 µ/mL","Y","30319772"
"Buthus martensii Karsch Polypeptide Toxin","Caenorhabditis elegans","22.5","29.27","N2","Polypeptide DNA sequence inserted into the pGEX-4T-1 plasmid and transformed into pGEX-4T-1","Y","28088444"
"Resveratrol","Caenorhabditis elegans","50.8","29.2","N2","50 µM","Y","17460219"
"Trimethadione","Caenorhabditis elegans","24","29","N2","4 mg/ml","Y","15653505"
"Quercetin","Caenorhabditis elegans","18","29","N2","200 µM","Y","19043800"
"Rhodiola rosea extract","Drosophila melanogaster","","28.6","","30 mg/mL every other day","ND","9825229"
"Myxothiazol","Caenorhabditis elegans","32.3","28.6","N2","10 µM","Y","18221415"
"guarana ethanolic extract","Caenorhabditis elegans","36.36","28.57","N2","500 µg/mL","Y","29972429"
"guarana ethanolic extract","Caenorhabditis elegans","36.36","28.57","N2","1000 µg/mL","Y","29972429"
"Echinacea purpurea root","Mus musculus","","28","BALB/cByJ","2 mg/day","ND","16041619"
"4-dafachronic acid","Caenorhabditis elegans","16.6","28","N2","250 nM","Y","17360327"
"Isoprenol","Caenorhabditis elegans","25.26","28","N2","0.5 mM","Y","30624146"
"Sodium hypophosphite","Zaprionus paravittiger","28.1","27","","1 mM","Y","3721207"
"Butylated hydroxyanisole","Zaprionus paravittiger","15.1","27","","10 mM","Y","9207858"
"Resveratrol","Anastrepha ludens","-2.3","26.5","","100 µM","N","19264118"
"Phenformin","Mus musculus","21","26","C3H/Sn","2 mg, 5 times a week","Y","14618027"
"Quercetin","Caenorhabditis elegans","11","25","N2","100 µM","Y","19043800"
"Naphthazarin","Caenorhabditis elegans","22","25","N2","500 µM","Y","21765926"
"Curcumin","Drosophila melanogaster","-8.2","25","Ra","100 mM","Y","23063786"
"Curcumin","Drosophila melanogaster","16.3","25","Ra","100 mM","Y","23063786"
"Minocycline","Drosophila melanogaster","50","25","Oregon R","0.87 mM","Y","23185716"
"Protocatechuic acid","Caenorhabditis elegans","23","25","N2","100 µM","Y","23780797"
"Whole apple extract","Caenorhabditis elegans","39","25","N2","10 mg/ml","Y","23878618"
"β-Santalol","Caenorhabditis elegans","12.56","25","N2","16 µM","Y","30319772"
"β-Santalol","Caenorhabditis elegans","25.38","25","N2","16 µM","Y","30319772"
"Withanolide A","Caenorhabditis elegans","15.79","24.58","N2","25 µM","Y","26956478"
"N-acetyl-L-cysteine","Drosophila melanogaster","26.8","24.5","Oregon R","10 mg/ml","Y","9447249"
"Ethosuximide","Caenorhabditis elegans","13","24","N2","2 mg/ml","Y","15653505"
"Oxoline","Caenorhabditis elegans","12","24","N2","1 mM","Y","21765926"
"Oxoline","Caenorhabditis elegans","10","24","N2","1 mM","Y","21765926"
"Baicalein","Caenorhabditis elegans","45","24","N2","100 µM","ND","23339711"
"Fucoxanthin","Caenorhabditis elegans","14","24","N2","5 µM","Y","26292053"
"Blueberry extract","Caenorhabditis elegans","44.42","24","N2","200 mg/mL","Y","30238944"
"N-acetyl-L-cysteine","Caenorhabditis elegans","27.1","23.5","N2 CGCb strain","2 mM","Y","26039957"
"Trimethadione","Caenorhabditis elegans","41","23","N2","4 mg/ml","Y","15653505"
"Resveratrol","Nothobranchius guentheri","13","23","TZ 97-2","100 µL","Y","22960591"
"Sodium hypophosphite","Zaprionus paravittiger","24.9","22.9","","100 µM","Y","3721207"
"Isoprenol","Caenorhabditis elegans","19.23","22.6","N2","1 mM","Y","30624146"
"Resveratrol","Anastrepha ludens","15.6","22.5","","100 µM","Y","19264118"
"LY-294002","Drosophila melanogaster","14","22.5","Canton S","5 µM","Y","20017609"
"Ethosuximide","Caenorhabditis elegans","17","22","N2","4 mg/ml","Y","15653505"
"Stachys lavandulifolia ethanol extract","Drosophila melanogaster","31.3","22","Oregon R","12 µl/100 ml media","Y","20738162"
"Sodium hypophosphite","Zaprionus paravittiger","23.6","21.9","","5 mM","Y","3721207"
"East Indian sandalwood oil","Caenorhabditis elegans","17.1","21.73","N2","12 µ/mL","Y","30319772"
"Astaxanthin","Caenorhabditis elegans","28.6","21.7","N2","1 mM","Y","22013497"
"FCCP","Caenorhabditis elegans","17.3","21.6","N2","50 µM","Y","20346071"
"FCCP","Caenorhabditis elegans","27.8","21.4","N2","50 µM","Y","18221415"
"guarana ethanolic extract","Caenorhabditis elegans","18.18","21.4","N2","100 µg/mL","Y","29972429"
"Stachys lavandulifolia ethanol extract","Drosophila melanogaster","26.8","21.3","Oregon R","12 µl/100 ml media","Y","20738162"
"Sodium hypophosphite","Zaprionus paravittiger","18","21","","100 µM","Y","3721207"
"Melatonin","Paramecium tetraurelia","22.8","20.9","","10 mg/L","Y","9406982"
"Curcumin","Drosophila melanogaster","25","20.2","Ra","100 mM","Y","23063786"
"Acanthopanax sessiliflorus stem extract","Caenorhabditis elegans","18","20","N2","500 mg/L","Y","25324932"
"Dehydroabietic acid","Caenorhabditis elegans","12.8","20","N2","10 µM","Y","25976661"
"N-acetyl-L-cysteine","Caenorhabditis elegans","9.07","20","N2","3 mM","Y","27683245"
"Blueberry extract","Caenorhabditis elegans","36.52","20","N2","100 mg/mL","Y","30238944"
"Nicotinamide","Saccharomyces cerevisiae","20.2","19.83","W303-1A","1 mM","Y","27320176"
"Sodium hypophosphite","Zaprionus paravittiger","25.4","19.7","","5 mM","Y","3721207"
"Kinetin","Zaprionus paravittiger","80","19.7","","25 ppm","Y","7488181"
"N-Acetyl Cysteine","Drosophila kikkawai","8","19.4","","10 nM","Y","30243020"
"Ribes fasciculatum eylacetate fraction","Caenorhabditis elegans","16.3","19.05","N2","500 µg/mL","Y","27478096"
"N-acetyl-L-cysteine","Caenorhabditis elegans","14.6","19","N2 CGCb strain","5 mM","N","26039957"
"S-allylmercapto-N-acetylcysteine","Caenorhabditis elegans","15.5","18.75","CF512","2 mM","Y","29579097"
"S-allylmercapto-N-acetylcysteine","Caenorhabditis elegans","14.24","18.75","CF512","5 mM","Y","29579097"
"Resveratrol","Caenorhabditis elegans","6.24","18.75","N2","50 µM","Y","27683245"
"Dimethyl sulfoxide","Caenorhabditis elegans","29","18.6","N2","0.005","Y","20828537"
"Dehydroabietic acid","Caenorhabditis elegans","11.8","18.1","N2","10 µM","Y","25976661"
"Oxoline","Caenorhabditis elegans","13","18","N2","1 mM","Y","21765926"
"Tocotrienol","Caenorhabditis elegans","21","18","N2","86 µg","Y","22484623"
"Lithium Chloride","Drosophila melanogaster","18","18","Dahomey","25 mM","Y","27068460"
"Captopril","Caenorhabditis elegans","23","18","N2","3.18 mM","Y","26918946"
"Melatonin","Paramecium tetraurelia","","17.9","","10 mg/L","N","9406982"
"Butylated hydroxyanisole","Zaprionus paravittiger","27","17.6","","10 mM","Y","9207858"
"N-acetyl-L-cysteine","Caenorhabditis elegans","28.1","17.6","N2 CGCb strain","1 mM","Y","26039957"
"Rapamycin","Mus musculus","13","17.6","C57BL/6J.Nia","2 mg/kg every 5 days","Y","27091134"
"Resveratrol","Anastrepha ludens","2.6","17.5","","100 µM","N","19264118"
"Kinetin","Zaprionus paravittiger","-2.9","17.1","","125 ppm","Y","7488181"
"Vitamin E","Paramecium tetraurelia","11.7","17.1","","25 mg/L","ND","9406982"
"L-deprenyl","Rattus norvegicus","16.7","17","Fischer 344","0.0025","Y","2118586"
"Resveratrol","Nothobranchius guentheri","42.9","17","","12 µg","Y","23220248"
"Caffeic acid phenethylester","Caenorhabditis elegans","9","17","","","Y","24964141"
"Resveratrol","Anastrepha ludens","-2.3","16.7","","100 µM","N","19264118"
"Dehydroabietic acid","Caenorhabditis elegans","10.3","16.7","N2","1 µM","Y","25976661"
"Dehydroabietic acid","Caenorhabditis elegans","15.5","16.7","N2","10 µM","Y","25976661"
"Sodium Chloride","Caenorhabditis elegans","19.59","16.67","N2","150 mM","Y","26854551"
"Resveratrol","Anastrepha ludens","1.3","16.6","","100 µM","N","19264118"
"Torin 1","Drosophila melanogaster","36.36","16.6","Dahomey","1 µM","Y","29329306"
"L-deprenyl","Mesocricetus auratus","","16.4","","0.05 mg/kg/day","Y","9258898"
"LY-294002","Drosophila melanogaster","14.3","16.3","Canton S","5 µM","Y","20017609"
"Quercetin","Caenorhabditis elegans","8","16","N2","100 µM","Y","19043800"
"Rhodiola rosea extract","Drosophila melanogaster","24","16","","25 mg/mL","Y","19634056"
"Naphthazarin","Caenorhabditis elegans","19","16","N2","200 µM","Y","21765926"
"Triptolide","Caenorhabditis elegans","20.1","16","N2","50 mg/L","Y","28471052"
"Captopril","Caenorhabditis elegans","34","16","N2","2.54 mM","Y","26918946"
"Blueberry extract","Caenorhabditis elegans","22.23","16","N2","50 mg/mL","Y","30238944"
"Kinetin","Zaprionus paravittiger","22.9","15.8","","125 ppm","Y","7488181"
"6-shogaol","Caenorhabditis elegans","25.9","15.78","N2","25 µM","Y","29978428"
"Cordyceps sinensis oral liquid","Drosophila melanogaster","32","15.4","Oregon-K","0.20 mg/ml","Y","26239097"
"Lithocholic acid","Drosophila melanogaster","24.94","15.39","w1118","50 µM","Y","30051966"
"Omega-3 Monoacylglyceride Docosahexaenoic acid","Drosophila melanogaster","14.58","15.32","w1118","0.3 mg/mL","Y","30453574"
"Propyl gallate","Zaprionus paravittiger","8.7","15.3","","25 µg/ml","Y","8950031"
"L-deprenyl","Mus musculus","2.7","15.3","B6D2F1","0.25 mg/kg 3x/week","N","8914495"
"Withanolide A","Caenorhabditis elegans","10.81","15.12","N2","50 µM","Y","26956478"
"N-acetyl-L-cysteine","Drosophila melanogaster","14.1","15.1","Oregon R","1 mg/ml","ND","9447249"
"N-acetyl-L-cysteine","Drosophila melanogaster","16.8","15.1","Oregon R","100 µg/ml","Y","9447249"
"Quercetin","Caenorhabditis elegans","19","15","N2","100 µM","Y","18024103"
"Oxoline","Caenorhabditis elegans","9","15","N2","100 µM","N","21765926"
"Stachys lavandulifolia water extract","Drosophila melanogaster","32","14.9","Oregon R","20 µl/100 ml media","Y","20738162"
"Luteolin","Caenorhabditis elegans","17.65","14.82","N2","100 µM","Y","29375370"
"Melatonin","Paramecium tetraurelia","20.8","14.8","","10 mg/L","Y","9406982"
"Astaxanthin","Caenorhabditis elegans","20.8","14.6","N2","6 µg","Y","22484623"
"Alpha-lipoic acid","Caenorhabditis elegans","24.2","14.3","N2","24 µM","Y","17156833"
"Resveratrol","Caenorhabditis elegans","15.4","14.3","N2","50 µM","Y","25976661"
"Glucose","Caenorhabditis elegans","31.25","14.29","N2","2%","Y","26764305"
"Polypeptide Pineal extract","Mus musculus","31","14","C3H/Sn","0.5 mg","Y","6752596"
"Rapamycin","Mus musculus","13","14","Hybrid of CB6F1(F)& C3D2F1(M)","2.24 mg/kg/day","Y","19587680"
"Stachys lavandulifolia ethanol extract","Drosophila melanogaster","16","14","Oregon R","4 µl/100 ml media","Y","20738162"
"Stachys lavandulifolia water extract","Drosophila melanogaster","35.6","14","Oregon R","20 µl/100 ml media","Y","20738162"
"Naphthazarin","Caenorhabditis elegans","8","14","N2","200 µM","Y","21765926"
"Oxoline","Caenorhabditis elegans","15","14","N2","500 µM","Y","21765926"
"Proanthocyanidins from Kunlun Chrysanthemum flowers","Drosophila melanogaster","16.8","14","Oregon R+","","Y","25628774"
"10-hydroxy-2-decenoic Acid","Caenorhabditis elegans","10","14","N2","25 µM","Y","25789174"
"Resveratrol","Anastrepha ludens","2.6","13.9","","100 µM","N","19264118"
"N-Acetyl Cysteine","Drosophila kikkawai","16","13.9","","100 µM","Y","30243020"
"N-Acetyl Cysteine","Drosophila kikkawai","16","13.9","","1 mM","Y","30243020"
"Torin 1","Drosophila melanogaster","50","13.89","Dahomey","5 µM","Y","29329306"
"Electrolyzed reduced water","Caenorhabditis elegans","17.3","13.8","N2","","Y","23959012"
"Paraquat","Caenorhabditis elegans","24.6","13.58","N2","200 µM","Y","28992589"
"Dichloroacetate","Caenorhabditis elegans","7.9","13.5","N2","50 µg/ml","Y","21153705"
"Lithium Chloride","Drosophila melanogaster","23","13.5","Dahomey","25 mM","Y","27068460"
"Sodium hypophosphite","Zaprionus paravittiger","13","13.3","","10 µM","Y","3721207"
"Tyrosine-Alanine Dipeptide","Caenorhabditis elegans","10.37","13.04","N2","1 mM","Y","26987062"
"Tyrosine-Alanine Dipeptide","Caenorhabditis elegans","12.43","13.04","N2","10 mM","Y","26987062"
"Epigallocatechin-3-gallate","Caenorhabditis elegans","20","13","N2","100 µM","N","20513639"
"Marine collagen peptides","Rattus norvegicus","11","13","Sprague-Dawley","0.09","Y","20553190"
"Plumbagin","Caenorhabditis elegans","11","13","N2","25 µM","Y","21765926"
"Rosa damascena extract","Drosophila melanogaster","31.7","13","B","","Y","21928072"
"Curcumin","Drosophila melanogaster","12.6","13","Oregon R","1 mg/g","Y","22653297"
"N-(3-(aminomethyl)benzyl)acetamidine","Drosophila melanogaster","3","13","Canton S","0.03 µM","Y","24096697"
"Oxaloacetate","Caenorhabditis elegans","25","13","N2","8 mM","Y","19793063"
"Lithium Chloride","Drosophila melanogaster","13","13","Dahomey","10 mM","Y","27068460"
"Kinetin","Zaprionus paravittiger","14.2","12.9","","25 ppm","Y","7488181"
"Rosa damascena extract","Drosophila melanogaster","22.4","12.7","B","","Y","21928072"
"S-allylmercapto-N-acetylcysteine","Caenorhabditis elegans","8.38","12.5","CF512","0.5mM","Y","29579097"
"Pyrroloquinoline quinone","Caenorhabditis elegans","31.25","12.5","N2","5 mM","Y","28676501"
"Glucose","Caenorhabditis elegans","-5.88","12.5","N2","1%","N","26764305"
"Glucose","Caenorhabditis elegans","-5.88","12.5","N2","2%","Y","26764305"
"Sodium hypophosphite","Zaprionus paravittiger","13.2","12.4","","10 µM","Y","3721207"
"BP-C3","Mus musculus","8.4","12.4","Swiss-Derived SHR","10 mg/kg Daily","Y","27574962"
"Gamma-tocopherol","Caenorhabditis elegans","10.1","12.3","N2","43 µg","Y","22484623"
"Indole","Caenorhabditis elegans","15.91","12.3","N2","100 µM","Y","28827958"
"Propyl gallate","Zaprionus paravittiger","15.1","12.2","","25 µg/ml","Y","8950031"
"Naphthazarin","Caenorhabditis elegans","11","12","N2","100 µM","Y","21765926"
"Naphthazarin","Caenorhabditis elegans","10","12","N2","100 µM","Y","21765926"
"Oxoline","Caenorhabditis elegans","15","12","N2","500 µM","Y","21765926"
"Oxoline","Caenorhabditis elegans","3","12","N2","500 µM","Y","21765926"
"Plumbagin","Caenorhabditis elegans","12","12","N2","50 µM","Y","21765926"
"Sodium butyrate","Drosophila melanogaster","8.3","12","Ra","10 mM","Y","26136617"
"17‐α‐estradiol","Mus musculus","19","12","UM-HET3","14.4 ppm of Chow","Y","27312235"
"N-acetyl-L-cysteine","Caenorhabditis elegans","12.53","12","N2","6 mM","Y","27683245"
"Platanus orientalis Extract","Drosophila melanogaster","13.02","11.94","Oregon R","0.1µg/ml","Y","28887920"
"Ganoderma lucidum extract","Caenorhabditis elegans","35.83","11.76","N2","7.5 mg/mL","Y","30476533"
"5-octanoyl salicylic acid","Caenorhabditis elegans","18.3","11.53","N2","100 µM","Y","30192051"
"Resveratrol","Caenorhabditis elegans","11","11.5","N2","100 ug/ml","ND","21364612"
"2,5-Dimethyl-Celecoxib","Drosophila melanogaster","8.4","11.32","Dahomey","0.5 µM","Y","28025308"
"2-deoxy-D-glucose","Caenorhabditis elegans","26.21","11.27","N2","5 mM","Y","28992589"
"Polypeptide Bovine Thymus extract","Mus musculus","28","11.2","C3H/Sn","0.5 mg","Y","6752596"
"N-Acetyl Cysteine","Drosophila kikkawai","16","11.1","","1 µM","Y","30243020"
"Epicatechin","Caenorhabditis elegans","15","11","N2","100 µM","N","20513639"
"Tocotrienol","Caenorhabditis elegans","12","11","N2","259 µg","Y","22484623"
"1-methyl nicotinamide","Caenorhabditis elegans","7.7","11","N2","1 µM","Y","24077178"
"Acarbose","Mus musculus","22","11","UM-HET3","1000 mg/kg","Y","24245565"
"Rapamycin","Mus musculus","26","11","UM-HET3","42 mg of drug per kg of food","Y","24341993"
"Rapamycin","Mus musculus","21","11","UM-HET3","14 mg of drug per kg of food","Y","24341993"
"N-Acetyl Cysteine","Drosophila melanogaster","5.6","10.9","Canton-S","100 µM","Y","30243020"
"Tyrosol","Caenorhabditis elegans","19.1","10.8","fer-15(b26)","250 µM","Y","22824366"
"Electrolyzed reduced water","Caenorhabditis elegans","17.5","10.7","N2","","Y","23959012"
"Stachys lavandulifolia water extract","Drosophila melanogaster","22.1","10.6","Oregon R","12 µl/100 ml media","Y","20738162"
"Selenocysteine","Caenorhabditis elegans","24.34","10.52","N2","5 mM","Y","28954009"
"Vitexin","Caenorhabditis elegans","17.2","10.5","N2","100 µM","Y","26535084"
"L-Glu-L-Trp dipeptide","Rattus norvegicus","0","10.4","","5 µg/rat. 5 times a week","ND","11707921"
"Proanthocyanidins from Kunlun Chrysanthemum flowers","Drosophila melanogaster","15.5","10.4","Oregon R+","","Y","25628774"
"Royal Jelly Protein","Drosophila melanogaster","13.87","10.34","Canton-S","5%","Y","27388939"
"Pyrroloquinoline quinone","Caenorhabditis elegans","25","10.3","N2","10 mM","Y","28676501"
"Resveratrol","Anastrepha ludens","-5.6","10.2","","100 µM","N","19264118"
"Resveratrol","Anastrepha ludens","1.5","10","","100 µM","N","19264118"
"Oxoline","Caenorhabditis elegans","15","10","N2","500 µM","Y","21765926"
"Psoralea corylifolia extract","Caenorhabditis elegans","","9.8","N2","10 µg/mL","Y","19350411"
"N-Acetyl Cysteine","Drosophila virilis","26","9.8","","100 µM","Y","30243020"
"N-acetyl-L-cysteine","Caenorhabditis elegans","5.2","9.5","N2 CGCb strain","2 mM","N","26039957"
"N-acetyl-L-cysteine","Caenorhabditis elegans","6.1","9.5","N2 CGCb strain","1 mM","N","26039957"
"Rapamycin","Mus musculus","10.1","9.3","129/Sv","1.5 mg/kg","Y","22107964"
"Resveratrol","Caenorhabditis elegans","12.8","9.1","N2","10 µM","Y","25976661"
"Resveratrol","Caenorhabditis elegans","6.3","9.1","N2","1 µM","N","25976661"
"Sodium butyrate","Drosophila melanogaster","14.6","9.1","Ra","10 mM","Y","26136617"
"Quercetin","Caenorhabditis elegans","11","9","N2","200 µM","Y","19043800"
"Glaucarubinone","Caenorhabditis elegans","7.9","9","N2","100 nM","Y","21264793"
"Acarbose","Mus musculus","5","9","UM-HET3","1000 mg/kg diet","Y","24245565"
"Proanthocyanidins from Kunlun Chrysanthemum flowers","Drosophila melanogaster","13.9","8.9","Oregon R+","","Y","25628774"
"Aronia extract","Drosophila melanogaster","15.38","8.88","Canton-S","2.5 mg/mL","Y","30263675"
"N-Acetyl Cysteine","Drosophila virilis","24","8.8","","1 mM","Y","30243020"
"Curcumin","Drosophila melanogaster","6.74","8.77","Canton-S","0.2 mg/g","Y","30488487"
"α‐linolenic acid","Caenorhabditis elegans","28.67","8.7","N2","5 mM","Y","28772063"
"α‐linolenic acid","Caenorhabditis elegans","28.67","8.7","N2","5 mM","Y","28772063"
"East Indian sandalwood oil","Caenorhabditis elegans","8.59","8.69","N2","6 µ/mL","Y","30319772"
"N-Acetyl Cysteine","Drosophila virilis","31","8.69","","100 nM","Y","30243020"
"N-Acetyl Cysteine","Drosophila virilis","32.4","8.6","","10 nM","Y","30243020"
"Torin 1","Drosophila melanogaster","27.27","8.33","Dahomey","0.5 µM","Y","29329306"
"α-Santalol","Caenorhabditis elegans","10.31","8.33","N2","32 µM","Y","30319772"
"α-Santalol","Caenorhabditis elegans","18.04","8.33","N2","32 µM","Y","30319772"
"β-Santalol","Caenorhabditis elegans","2.66","8.33","N2","8 µM","N","30319772"
"β-Santalol","Caenorhabditis elegans","3.78","8.33","N2","32µM","N","30319772"
"β-Santalol","Caenorhabditis elegans","4.64","8.33","N2","64 µM","Y","30319772"
"Dehydroabietic acid","Caenorhabditis elegans","4.8","8.3","N2","50 µM","N","25976661"
"N-Acetyl Cysteine","Drosophila kikkawai","12","8.3","","100 nM","Y","30243020"
"Luteolin","Caenorhabditis elegans","-1.54","8.28","N2","1 µM","Y","29375370"
"Luteolin","Caenorhabditis elegans","-0.6","8.28","N2","5 µM","Y","29375370"
"Pyrroloquinoline quinone","Caenorhabditis elegans","19.53","8.15","N2","3 mM","Y","28676501"
"Stachys lavandulifolia ethanol extract","Drosophila melanogaster","44.4","8","Oregon R","20 µl/100 ml media","Y","20738162"
"Stachys lavandulifolia water extract","Drosophila melanogaster","21.9","8","Oregon R","12 µl/100 ml media","Y","20738162"
"Naphthazarin","Caenorhabditis elegans","10","8","N2","200 µM","Y","21765926"
"Naphthazarin","Caenorhabditis elegans","14","8","N2","500 µM","Y","21765926"
"Lonidamine","Caenorhabditis elegans","8","8","","5 µM","Y","21932172"
"Chicoric acid","Caenorhabditis elegans","21","8","N2","100 µM","Y","24244361"
"Rapamycin","Mus musculus","23","8","UM-HET3","42 mg of drug per kg of food","Y","24341993"
"D-glucosamine","Caenorhabditis elegans","11","8","N2","10 mM","Y","24714520"
"Rapamycin","Mus musculus","13","8","UM-HET3","14 mg of drug per kg of food","Y","24341993"
"Selenocysteine","Caenorhabditis elegans","24.16","7.9","N2","1 mM","Y","28954009"
"Selenocysteine","Caenorhabditis elegans","21.72","7.9","N2","2.5 mM","Y","28954009"
"N-Acetyl Cysteine","Drosophila melanogaster","9.3","7.8","Canton-S","100 nM","Y","30243020"
"Aronia extract","Drosophila melanogaster","0","7.77","Canton-S","1 mg/mL","N","30263675"
"Recombinant GDF11","Nothobranchius guentheri","8.51","7.69","","0.2 mg/kg","Y","30519861"
"N-Acetyl Cysteine","Drosophila virilis","31","7.6","","1 µM","Y","30243020"
"N-Acetyl Cysteine","Drosophila virilis","29.6","7.6","","10 µM","Y","30243020"
"N-Acetyl Cysteine","Drosophila virilis","31","7.6","","100 µM","Y","30243020"
"Withanolide A","Caenorhabditis elegans","4.32","7.59","N2","2 µM","Y","26956478"
"L-deprenyl","Mus musculus","7","7.5","B6CBAF1","0.25 mg/kg 3x/week","N","8914495"
"Melatonin","Mus musculus","5.4","7.5","CBA","20 mg/l","Y","11445596"
"Platanus orientalis Extract","Drosophila melanogaster","2.43","7.46","Oregon R","10 µg/ml","Y","28887920"
"Rosa damascena extract","Drosophila melanogaster","4.5","7.4","w1118","","N","21928072"
"L-Leucine","Caenorhabditis elegans","6.84","7.32","N2","5 mM","Y","26620638"
"Resveratrol","Anastrepha ludens","6.2","7.3","","100 µM","N","19264118"
"Chlorpheniramine","Mus musculus","-3.3","7.2","C57BL/6J","2.28 µg/mL","N","4788962"
"Prunetin","Drosophila melanogaster","5.19","7.17","w1118","25 µM","Y","26538555"
